rep,algoritmo,ber,bg_udp_mbps,vazao_tcp,retrans_total,taxa_retrans,efficiency
1,reno,1000000,800,910.0,198,0.004,0.998
2,reno,1000000,800,887.0,257,0.005,0.998
3,reno,1000000,800,878.0,273,0.005,0.998
4,reno,1000000,800,904.0,234,0.004,0.998
5,reno,1000000,800,884.0,256,0.005,0.998
6,reno,1000000,800,905.0,209,0.004,0.998
7,reno,1000000,800,888.0,242,0.004,0.998
8,reno,1000000,800,903.0,217,0.004,0.998
1,reno,1000000,900,891.0,231,0.004,0.998
2,reno,1000000,900,906.0,198,0.004,0.998
3,reno,1000000,900,894.0,226,0.004,0.998
4,reno,1000000,900,900.0,213,0.004,0.998
5,reno,1000000,900,882.0,272,0.005,0.998
6,reno,1000000,900,903.0,231,0.004,0.998
7,reno,1000000,900,889.0,250,0.005,0.998
8,reno,1000000,900,888.0,252,0.005,0.998
1,reno,100000,800,893.0,240,0.004,0.998
2,reno,100000,800,892.0,253,0.005,0.998
3,reno,100000,800,886.0,253,0.005,0.998
4,reno,100000,800,903.0,226,0.004,0.998
5,reno,100000,800,875.0,277,0.005,0.998
6,reno,100000,800,881.0,254,0.005,0.998
7,reno,100000,800,884.0,250,0.005,0.998
8,reno,100000,800,898.0,229,0.004,0.998
1,reno,100000,900,893.0,232,0.004,0.998
2,reno,100000,900,883.0,253,0.005,0.998
3,reno,100000,900,901.0,222,0.004,0.998
4,reno,100000,900,907.0,222,0.004,0.998
5,reno,100000,900,912.0,209,0.004,0.998
6,reno,100000,900,915.0,193,0.004,0.998
7,reno,100000,900,892.0,237,0.004,0.998
8,reno,100000,900,898.0,231,0.004,0.998
1,cubic,1000000,800,898.0,159,0.003,0.998
2,cubic,1000000,800,902.0,164,0.003,0.998
3,cubic,1000000,800,873.0,161,0.003,0.998
4,cubic,1000000,800,917.0,148,0.003,0.998
5,cubic,1000000,800,903.0,161,0.003,0.998
6,cubic,1000000,800,912.0,145,0.003,0.998
7,cubic,1000000,800,902.0,155,0.003,0.998
8,cubic,1000000,800,909.0,149,0.003,0.998
1,cubic,1000000,900,878.0,170,0.003,0.998
2,cubic,1000000,900,907.0,139,0.003,0.998
3,cubic,1000000,900,931.0,142,0.003,0.998
4,cubic,1000000,900,899.0,161,0.003,0.998
5,cubic,1000000,900,908.0,149,0.003,0.998
6,cubic,1000000,900,914.0,140,0.003,0.998
7,cubic,1000000,900,905.0,143,0.003,0.998
8,cubic,1000000,900,900.0,161,0.003,0.998
1,cubic,100000,800,910.0,149,0.003,0.998
2,cubic,100000,800,909.0,155,0.003,0.998
3,cubic,100000,800,900.0,158,0.003,0.998
4,cubic,100000,800,908.0,158,0.003,0.998
5,cubic,100000,800,911.0,139,0.003,0.998
6,cubic,100000,800,872.0,191,0.004,0.998
7,cubic,100000,800,905.0,156,0.003,0.998
8,cubic,100000,800,915.0,148,0.003,0.998
1,cubic,100000,900,891.0,174,0.003,0.998
2,cubic,100000,900,915.0,150,0.003,0.998
3,cubic,100000,900,910.0,143,0.003,0.998
4,cubic,100000,900,891.0,141,0.003,0.998
5,cubic,100000,900,913.0,143,0.003,0.998
6,cubic,100000,900,913.0,127,0.002,0.998
7,cubic,100000,900,903.0,156,0.003,0.998
8,cubic,100000,900,903.0,160,0.003,0.998
