rep,algoritmo,ber,bg_udp_mbps,vazao_tcp,retrans_total,taxa_retrans,efficiency
1,reno,1000000,800,956.0,0,0.0,0.998
2,reno,1000000,800,956.0,0,0.0,0.998
3,reno,1000000,800,956.0,0,0.0,0.998
4,reno,1000000,800,956.0,0,0.0,0.998
5,reno,1000000,800,956.0,0,0.0,0.998
6,reno,1000000,800,956.0,0,0.0,0.998
7,reno,1000000,800,956.0,0,0.0,0.998
8,reno,1000000,800,956.0,0,0.0,0.998
1,reno,1000000,900,956.0,1,0.0,0.998
2,reno,1000000,900,956.0,0,0.0,0.998
3,reno,1000000,900,956.0,0,0.0,0.998
4,reno,1000000,900,956.0,0,0.0,0.998
5,reno,1000000,900,956.0,0,0.0,0.998
6,reno,1000000,900,956.0,0,0.0,0.998
7,reno,1000000,900,956.0,2,0.0,0.998
8,reno,1000000,900,956.0,0,0.0,0.998
1,reno,100000,800,956.0,1,0.0,0.998
2,reno,100000,800,956.0,0,0.0,0.998
3,reno,100000,800,956.0,0,0.0,0.998
4,reno,100000,800,956.0,0,0.0,0.998
5,reno,100000,800,956.0,0,0.0,0.998
6,reno,100000,800,956.0,0,0.0,0.998
7,reno,100000,800,956.0,0,0.0,0.998
8,reno,100000,800,956.0,0,0.0,0.998
1,reno,100000,900,956.0,0,0.0,0.998
2,reno,100000,900,956.0,0,0.0,0.998
3,reno,100000,900,956.0,0,0.0,0.998
4,reno,100000,900,956.0,0,0.0,0.998
5,reno,100000,900,956.0,0,0.0,0.998
6,reno,100000,900,956.0,0,0.0,0.998
7,reno,100000,900,956.0,0,0.0,0.998
8,reno,100000,900,956.0,0,0.0,0.998
1,cubic,1000000,800,956.0,1,0.0,0.998
2,cubic,1000000,800,956.0,3,0.0,0.998
3,cubic,1000000,800,956.0,0,0.0,0.998
4,cubic,1000000,800,956.0,0,0.0,0.998
5,cubic,1000000,800,956.0,0,0.0,0.998
6,cubic,1000000,800,956.0,0,0.0,0.998
7,cubic,1000000,800,956.0,0,0.0,0.998
8,cubic,1000000,800,956.0,0,0.0,0.998
1,cubic,1000000,900,955.0,0,0.0,0.998
2,cubic,1000000,900,956.0,0,0.0,0.998
3,cubic,1000000,900,956.0,0,0.0,0.998
4,cubic,1000000,900,956.0,0,0.0,0.998
5,cubic,1000000,900,956.0,0,0.0,0.998
6,cubic,1000000,900,955.0,0,0.0,0.998
7,cubic,1000000,900,956.0,0,0.0,0.998
8,cubic,1000000,900,956.0,0,0.0,0.998
1,cubic,100000,800,956.0,0,0.0,0.998
2,cubic,100000,800,955.0,0,0.0,0.998
3,cubic,100000,800,956.0,0,0.0,0.998
4,cubic,100000,800,956.0,2,0.0,0.998
5,cubic,100000,800,956.0,0,0.0,0.998
6,cubic,100000,800,956.0,0,0.0,0.998
7,cubic,100000,800,925.0,0,0.0,0.998
8,cubic,100000,800,955.0,0,0.0,0.998
1,cubic,100000,900,956.0,0,0.0,0.998
2,cubic,100000,900,956.0,0,0.0,0.998
3,cubic,100000,900,956.0,0,0.0,0.998
4,cubic,100000,900,956.0,0,0.0,0.998
5,cubic,100000,900,956.0,0,0.0,0.998
6,cubic,100000,900,955.0,0,0.0,0.998
7,cubic,100000,900,956.0,3,0.0,0.998
8,cubic,100000,900,956.0,0,0.0,0.998
