tcp,ber,udp,rep,segmentos,retransmissoes
reno,1000000,800,1,0,0
reno,1000000,800,2,68826,0
reno,1000000,800,3,0,0
reno,1000000,800,4,68883,0
reno,1000000,800,5,0,0
reno,1000000,800,6,68837,0
reno,1000000,800,7,0,0
reno,1000000,800,8,68777,0
reno,1000000,900,1,0,0
reno,1000000,900,2,68859,0
reno,1000000,900,3,0,0
reno,1000000,900,4,68847,0
reno,1000000,900,5,68804,0
reno,1000000,900,6,0,0
reno,1000000,900,7,68782,0
reno,1000000,900,8,68842,0
reno,100000,800,1,0,0
reno,100000,800,2,68835,0
reno,100000,800,3,0,0
reno,100000,800,4,68772,0
reno,100000,800,5,0,0
reno,100000,800,6,68846,0
reno,100000,800,7,0,0
reno,100000,800,8,68875,0
reno,100000,900,1,0,0
reno,100000,900,2,68794,0
reno,100000,900,3,0,0
reno,100000,900,4,68918,0
reno,100000,900,5,0,0
reno,100000,900,6,68857,0
reno,100000,900,7,0,0
reno,100000,900,8,68701,0
cubic,1000000,800,1,0,0
cubic,1000000,800,2,68635,0
cubic,1000000,800,3,68646,0
cubic,1000000,800,4,0,0
cubic,1000000,800,5,68568,0
cubic,1000000,800,6,68575,0
cubic,1000000,800,7,0,0
cubic,1000000,800,8,68561,0
cubic,1000000,900,1,0,0
cubic,1000000,900,2,68619,0
cubic,1000000,900,3,0,0
cubic,1000000,900,4,68638,0
cubic,1000000,900,5,0,0
cubic,1000000,900,6,68663,0
cubic,1000000,900,7,0,0
cubic,1000000,900,8,68598,0
cubic,100000,800,1,0,0
cubic,100000,800,2,68594,0
cubic,100000,800,3,0,0
cubic,100000,800,4,68544,0
cubic,100000,800,5,0,0
cubic,100000,800,6,68577,0
cubic,100000,800,7,0,0
cubic,100000,800,8,68639,0
cubic,100000,900,1,0,0
cubic,100000,900,2,68629,0
cubic,100000,900,3,0,0
cubic,100000,900,4,68604,0
cubic,100000,900,5,0,0
cubic,100000,900,6,68639,0
cubic,100000,900,7,0,0
cubic,100000,900,8,68639,0
