tcp,ber,udp,rep,segmentos,retransmissoes
reno,10000,900,1,68853,0
reno,10000,900,2,68871,0
reno,10000,900,3,68893,0
reno,10000,900,4,68773,0
reno,10000,900,5,68813,0
reno,10000,900,6,68908,0
reno,10000,900,7,68847,0
reno,10000,900,8,68774,0
reno,10000,1000,1,68868,0
reno,10000,1000,2,68769,0
reno,10000,1000,3,68914,0
reno,10000,1000,4,68860,0
reno,10000,1000,5,68851,0
reno,10000,1000,6,68792,0
reno,10000,1000,7,68828,0
reno,10000,1000,8,68795,0
reno,1000,900,1,68804,0
reno,1000,900,2,68781,0
reno,1000,900,3,68824,0
reno,1000,900,4,68829,0
reno,1000,900,5,68803,0
reno,1000,900,6,68878,0
reno,1000,900,7,68819,0
reno,1000,900,8,68869,0
reno,1000,1000,1,68879,0
reno,1000,1000,2,68812,0
reno,1000,1000,3,68896,0
reno,1000,1000,4,68750,0
reno,1000,1000,5,68834,0
reno,1000,1000,6,68873,0
reno,1000,1000,7,68874,0
reno,1000,1000,8,68817,0
cubic,10000,900,1,68604,0
cubic,10000,900,2,68577,0
cubic,10000,900,3,68582,0
cubic,10000,900,4,68565,0
cubic,10000,900,5,68616,0
cubic,10000,900,6,68561,0
cubic,10000,900,7,68578,0
cubic,10000,900,8,68644,0
cubic,10000,1000,1,68692,0
cubic,10000,1000,2,68633,0
cubic,10000,1000,3,68658,0
cubic,10000,1000,4,68621,0
cubic,10000,1000,5,68623,0
cubic,10000,1000,6,68607,0
cubic,10000,1000,7,68559,0
cubic,10000,1000,8,68537,0
cubic,1000,900,1,68683,0
cubic,1000,900,2,68639,0
cubic,1000,900,3,68623,0
cubic,1000,900,4,68653,0
cubic,1000,900,5,64015,0
cubic,1000,900,6,51992,0
cubic,1000,900,7,68646,0
cubic,1000,900,8,68582,0
cubic,1000,1000,1,68627,0
cubic,1000,1000,2,68682,0
cubic,1000,1000,3,68656,0
cubic,1000,1000,4,57353,0
cubic,1000,1000,5,68633,0
cubic,1000,1000,6,68656,0
cubic,1000,1000,7,63239,0
cubic,1000,1000,8,65047,0
