tcp,ber,udp,rep,segmentos,retransmissoes
reno,1000000,800,1,55096,110
reno,1000000,800,2,55420,111
reno,1000000,800,3,55596,105
reno,1000000,800,4,55468,103
reno,1000000,800,5,55375,105
reno,1000000,800,6,54963,112
reno,1000000,800,7,55569,118
reno,1000000,800,8,55805,80
reno,1000000,900,1,55495,101
reno,1000000,900,2,55079,128
reno,1000000,900,3,55663,121
reno,1000000,900,4,55412,94
reno,1000000,900,5,55642,122
reno,1000000,900,6,55357,100
reno,1000000,900,7,56182,97
reno,1000000,900,8,54771,133
reno,100000,800,1,55254,99
reno,100000,800,2,55552,103
reno,100000,800,3,55705,108
reno,100000,800,4,55479,138
reno,100000,800,5,0,0
reno,100000,800,6,55228,119
reno,100000,800,7,55281,113
reno,100000,800,8,55842,122
reno,100000,900,1,55205,126
reno,100000,900,2,56136,131
reno,100000,900,3,55550,113
reno,100000,900,4,55302,114
reno,100000,900,5,55341,124
reno,100000,900,6,55186,126
reno,100000,900,7,55634,89
reno,100000,900,8,54932,147
cubic,1000000,800,1,55099,104
cubic,1000000,800,2,55069,90
cubic,1000000,800,3,55206,92
cubic,1000000,800,4,54858,110
cubic,1000000,800,5,55084,105
cubic,1000000,800,6,54914,99
cubic,1000000,800,7,55141,91
cubic,1000000,800,8,55477,100
cubic,1000000,900,1,55866,97
cubic,1000000,900,2,55025,97
cubic,1000000,900,3,54895,97
cubic,1000000,900,4,55229,93
cubic,1000000,900,5,55436,106
cubic,1000000,900,6,55105,110
cubic,1000000,900,7,55438,103
cubic,1000000,900,8,54882,114
cubic,100000,800,1,54927,105
cubic,100000,800,2,55152,100
cubic,100000,800,3,55087,99
cubic,100000,800,4,54771,104
cubic,100000,800,5,55027,109
cubic,100000,800,6,55091,108
cubic,100000,800,7,54843,114
cubic,100000,800,8,55164,98
cubic,100000,900,1,55160,109
cubic,100000,900,2,55199,96
cubic,100000,900,3,55232,88
cubic,100000,900,4,54905,104
cubic,100000,900,5,54964,97
cubic,100000,900,6,55121,100
cubic,100000,900,7,55279,90
cubic,100000,900,8,55013,86
