rep,algoritmo,ber,bg_udp_mbps,vazao_tcp,retrans_total,taxa_retrans,efficiency
1,reno,1000000,800,942.0,113,0.002,0.998
2,reno,1000000,800,943.0,122,0.002,0.998
3,reno,1000000,800,945.0,99,0.002,0.998
4,reno,1000000,800,938.0,133,0.002,0.998
5,reno,1000000,800,946.0,103,0.002,0.998
6,reno,1000000,800,951.0,78,0.001,0.998
7,reno,1000000,800,943.0,104,0.002,0.998
8,reno,1000000,800,947.0,116,0.002,0.998
1,reno,1000000,900,943.0,117,0.002,0.998
2,reno,1000000,900,944.0,117,0.002,0.998
3,reno,1000000,900,949.0,88,0.002,0.998
4,reno,1000000,900,941.0,121,0.002,0.998
5,reno,1000000,900,939.0,122,0.002,0.998
6,reno,1000000,900,944.0,108,0.002,0.998
7,reno,1000000,900,941.0,130,0.002,0.998
8,reno,1000000,900,941.0,130,0.002,0.998
1,reno,100000,800,948.0,99,0.002,0.998
2,reno,100000,800,948.0,79,0.001,0.998
3,reno,100000,800,941.0,114,0.002,0.998
4,reno,100000,800,944.0,117,0.002,0.998
5,reno,100000,800,943.0,104,0.002,0.998
6,reno,100000,800,933.0,144,0.003,0.998
7,reno,100000,800,941.0,124,0.002,0.998
8,reno,100000,800,933.0,148,0.003,0.998
1,reno,100000,900,940.0,118,0.002,0.998
2,reno,100000,900,945.0,111,0.002,0.998
3,reno,100000,900,946.0,108,0.002,0.998
4,reno,100000,900,939.0,128,0.002,0.998
5,reno,100000,900,941.0,120,0.002,0.998
6,reno,100000,900,932.0,133,0.002,0.998
7,reno,100000,900,933.0,121,0.002,0.998
8,reno,100000,900,945.0,107,0.002,0.998
1,cubic,1000000,800,943.0,123,0.002,0.998
2,cubic,1000000,800,949.0,89,0.002,0.998
3,cubic,1000000,800,952.0,101,0.002,0.998
4,cubic,1000000,800,949.0,106,0.002,0.998
5,cubic,1000000,800,943.0,105,0.002,0.998
6,cubic,1000000,800,944.0,119,0.002,0.998
7,cubic,1000000,800,951.0,92,0.002,0.998
8,cubic,1000000,800,949.0,100,0.002,0.998
1,cubic,1000000,900,949.0,93,0.002,0.998
2,cubic,1000000,900,950.0,97,0.002,0.998
3,cubic,1000000,900,947.0,99,0.002,0.998
4,cubic,1000000,900,950.0,100,0.002,0.998
5,cubic,1000000,900,937.0,119,0.002,0.998
6,cubic,1000000,900,949.0,112,0.002,0.998
7,cubic,1000000,900,949.0,104,0.002,0.998
8,cubic,1000000,900,946.0,96,0.002,0.998
1,cubic,100000,800,948.0,102,0.002,0.998
2,cubic,100000,800,944.0,103,0.002,0.998
3,cubic,100000,800,938.0,113,0.002,0.998
4,cubic,100000,800,954.0,100,0.002,0.998
5,cubic,100000,800,950.0,89,0.002,0.998
6,cubic,100000,800,949.0,116,0.002,0.998
7,cubic,100000,800,949.0,95,0.002,0.998
8,cubic,100000,800,949.0,111,0.002,0.998
1,cubic,100000,900,947.0,112,0.002,0.998
2,cubic,100000,900,942.0,114,0.002,0.998
3,cubic,100000,900,948.0,111,0.002,0.998
4,cubic,100000,900,936.0,119,0.002,0.998
5,cubic,100000,900,945.0,115,0.002,0.998
6,cubic,100000,900,937.0,122,0.002,0.998
7,cubic,100000,900,946.0,111,0.002,0.998
8,cubic,100000,900,947.0,110,0.002,0.998
