tcp,ber,udp,rep,segmentos,retransmissoes
reno,1000000,800,1,0,0
reno,1000000,800,2,0,0
reno,1000000,800,3,0,0
reno,1000000,800,4,0,0
reno,1000000,800,5,0,0
reno,1000000,800,6,0,0
reno,1000000,800,7,0,0
reno,1000000,800,8,0,0
reno,1000000,900,1,0,0
reno,1000000,900,2,0,0
reno,1000000,900,3,0,0
reno,1000000,900,4,0,0
reno,1000000,900,5,0,0
reno,1000000,900,6,0,0
reno,1000000,900,7,0,0
reno,1000000,900,8,0,0
reno,100000,800,1,0,0
reno,100000,800,2,0,0
reno,100000,800,3,0,0
reno,100000,800,4,0,0
reno,100000,800,5,0,0
reno,100000,800,6,0,0
reno,100000,800,7,0,0
reno,100000,800,8,0,0
reno,100000,900,1,0,0
reno,100000,900,2,0,0
reno,100000,900,3,0,0
reno,100000,900,4,0,0
reno,100000,900,5,0,0
reno,100000,900,6,0,0
reno,100000,900,7,0,0
reno,100000,900,8,0,0
cubic,1000000,800,1,0,0
cubic,1000000,800,2,0,0
cubic,1000000,800,3,0,0
cubic,1000000,800,4,0,0
cubic,1000000,800,5,0,0
cubic,1000000,800,6,0,0
cubic,1000000,800,7,0,0
cubic,1000000,800,8,0,0
cubic,1000000,900,1,0,0
cubic,1000000,900,2,0,0
cubic,1000000,900,3,0,0
cubic,1000000,900,4,0,0
cubic,1000000,900,5,0,0
cubic,1000000,900,6,0,0
cubic,1000000,900,7,0,0
cubic,1000000,900,8,0,0
cubic,100000,800,1,0,0
cubic,100000,800,2,0,0
cubic,100000,800,3,0,0
cubic,100000,800,4,0,0
cubic,100000,800,5,0,0
cubic,100000,800,6,0,0
cubic,100000,800,7,0,0
cubic,100000,800,8,0,0
cubic,100000,900,1,0,0
cubic,100000,900,2,0,0
cubic,100000,900,3,0,0
cubic,100000,900,4,0,0
cubic,100000,900,5,0,0
cubic,100000,900,6,0,0
cubic,100000,900,7,0,0
cubic,100000,900,8,0,0
