Passo,Estado,Taxa Configurada,Bytes Transmitidos
1,0,0M,0
2,1,10M,10489789
3,1,10M,10490082
4,0,0M,0
5,1,10M,10490059
6,0,0M,0
7,0,0M,0
8,1,10M,10490067
9,1,10M,10490073
10,2,50M,52432416
11,2,50M,52432584
12,2,50M,52432647
13,2,50M,52432521
14,2,50M,52432615
15,2,50M,52432636
16,1,10M,10490040
17,1,10M,10490061
18,1,10M,10490073
19,1,10M,10490050
20,0,0M,0
21,0,0M,0
22,1,10M,10490084
23,1,10M,10490090
24,2,50M,52432667
25,0,0M,0
26,0,0M,0
27,0,0M,0
28,0,0M,0
29,2,50M,52432500
30,0,0M,0
31,0,0M,0
32,0,0M,0
33,0,0M,0
34,1,10M,10490019
35,2,50M,52432563
36,1,10M,10490088
37,1,10M,10490086
38,1,10M,10490025
39,1,10M,10489916
40,1,10M,10490067
41,1,10M,10490084
42,1,10M,10490063
43,0,0M,0
44,0,0M,0
45,2,50M,52432542
46,0,0M,0
47,2,50M,52432573
48,0,0M,0
49,0,0M,0
50,0,0M,0
51,0,0M,0
52,0,0M,0
53,1,10M,10490078
54,1,10M,10490055
55,1,10M,10490078
56,1,10M,10489956
57,1,10M,10490092
58,1,10M,10490080
59,1,10M,10490084
60,0,0M,0
61,0,0M,0
62,0,0M,0
63,1,10M,10490065
64,1,10M,10490069
65,1,10M,10490086
66,1,10M,10490057
67,1,10M,10490071
68,1,10M,10490080
69,1,10M,10490078
70,2,50M,52432374
71,1,10M,10490055
72,0,0M,0
73,0,0M,0
74,0,0M,0
75,1,10M,10490044
76,1,10M,10490075
77,1,10M,10490061
78,0,0M,0
79,1,10M,10490052
80,1,10M,10490061
81,1,10M,10490086
82,1,10M,10490082
83,1,10M,10490086
84,1,10M,10490065
85,1,10M,10489935
86,1,10M,10490071
87,1,10M,10490044
88,2,50M,52432489
89,2,50M,52432573
90,0,0M,0
91,2,50M,52432552
92,1,10M,10490080
93,1,10M,10490069
94,2,50M,52432626
95,1,10M,10490073
96,0,0M,0
97,0,0M,0
98,0,0M,0
99,0,0M,0
100,1,10M,10490088
