Passo,Estado,Taxa Configurada,Bytes Transmitidos
1,2,50M,52432510
2,1,10M,10490088
3,0,0M,0
4,1,10M,10490082
5,1,10M,10490092
6,1,10M,10490086
7,0,0M,0
8,1,10M,10490092
9,1,10M,10490082
10,1,10M,10490086
11,1,10M,10490090
12,1,10M,10490086
13,2,50M,52432521
14,1,10M,10490086
15,2,50M,52432552
16,1,10M,10490075
17,2,50M,52432584
18,1,10M,10490092
19,2,50M,52432542
20,2,50M,52432437
21,1,10M,10490059
22,0,0M,0
23,0,0M,0
24,0,0M,0
25,0,0M,0
26,0,0M,0
27,1,10M,10490084
28,2,50M,52432531
29,2,50M,52432531
30,1,10M,10490057
31,0,0M,0
32,0,0M,0
33,1,10M,10490071
34,0,0M,0
35,2,50M,52432542
36,2,50M,52432531
37,2,50M,52432531
38,2,50M,52432521
39,2,50M,52432531
40,2,50M,52432542
41,2,50M,52432468
42,2,50M,52432531
43,1,10M,10490086
44,2,50M,52431766
45,0,0M,0
46,0,0M,0
47,0,0M,0
48,0,0M,0
49,0,0M,0
50,0,0M,0
