Passo,Estado,Taxa Configurada,Bytes Transmitidos
1,0,0M,0
2,0,0M,0
3,2,50M,52433181
4,2,50M,52432531
5,2,50M,52432531
6,2,50M,52432531
7,2,50M,52432898
8,2,50M,52432521
9,2,50M,52432531
10,1,10M,10486889
11,1,10M,10485566
12,1,10M,10487631
13,1,10M,10485536
14,1,10M,10485536
15,1,10M,10485249
16,2,50M,52432521
17,2,50M,52432489
18,2,50M,52432405
19,1,10M,10485536
20,2,50M,52432542
21,1,10M,10487449
22,1,10M,10487814
23,1,10M,10485543
24,1,10M,10487543
25,1,10M,10485408
26,1,10M,10485534
27,1,10M,10485438
28,1,10M,10487480
29,2,50M,52432531
30,0,0M,0
31,0,0M,0
32,0,0M,0
33,0,0M,0
34,0,0M,0
35,2,50M,52433727
36,2,50M,52428167
37,2,50M,52432510
38,2,50M,52432531
39,2,50M,52432531
40,2,50M,52432542
41,2,50M,52432542
42,1,10M,10485538
43,1,10M,10485490
44,2,50M,52432164
45,2,50M,52432542
46,2,50M,52432531
47,2,50M,52432542
48,1,10M,10485496
49,1,10M,10485547
50,0,0M,0
51,1,10M,10485538
52,2,50M,52432552
53,2,50M,52432559
54,1,10M,10487478
55,1,10M,10485540
56,0,0M,0
57,1,10M,10487449
58,1,10M,10487604
59,1,10M,10485444
60,1,10M,10485406
61,0,0M,0
62,1,10M,10487489
63,1,10M,10485438
64,1,10M,10487350
65,1,10M,10485524
66,0,0M,0
67,1,10M,10487445
68,2,50M,52432531
69,2,50M,52432542
70,1,10M,10485341
71,0,0M,0
72,0,0M,0
73,0,0M,0
74,0,0M,0
75,2,50M,52432542
76,2,50M,52432531
77,2,50M,52432521
78,0,0M,0
79,1,10M,10487581
80,0,0M,0
81,0,0M,0
82,1,10M,10485536
83,1,10M,10485574
84,0,0M,0
85,1,10M,10485536
86,1,10M,10485371
87,1,10M,10487434
88,1,10M,10485557
89,1,10M,10485658
90,1,10M,10487526
91,0,0M,0
92,2,50M,52432500
93,2,50M,52432500
94,2,50M,52432531
95,2,50M,52432552
96,1,10M,10486966
97,1,10M,10487432
98,2,50M,52432531
99,2,50M,52432542
100,2,50M,52432426
101,1,10M,10485536
102,1,10M,10485538
103,2,50M,52432531
104,2,50M,52432531
105,1,10M,10484983
106,1,10M,10485601
107,1,10M,10487398
108,0,0M,0
109,0,0M,0
110,0,0M,0
111,0,0M,0
112,1,10M,10485570
113,1,10M,10487463
114,1,10M,10485406
115,1,10M,10485536
116,1,10M,10485528
117,1,10M,10485345
118,1,10M,10487453
119,0,0M,0
120,0,0M,0
121,0,0M,0
122,0,0M,0
123,1,10M,10487461
124,0,0M,0
125,1,10M,10485536
126,1,10M,10485538
127,1,10M,10487382
128,0,0M,0
129,1,10M,10487547
130,1,10M,10485618
131,1,10M,10485532
132,1,10M,10485532
133,2,50M,52432521
134,0,0M,0
135,1,10M,10487436
136,1,10M,10485532
137,2,50M,52432531
138,1,10M,10487451
139,2,50M,52432521
140,2,50M,52432531
141,2,50M,52428156
142,0,0M,0
143,0,0M,0
144,2,50M,52432531
145,1,10M,10487700
146,1,10M,10487459
147,1,10M,10485622
148,1,10M,10485534
149,0,0M,0
150,0,0M,0
151,0,0M,0
152,0,0M,0
153,2,50M,52432510
154,0,0M,0
155,0,0M,0
156,0,0M,0
157,2,50M,52432521
158,2,50M,52432521
159,0,0M,0
160,0,0M,0
161,0,0M,0
162,1,10M,10485540
163,1,10M,10485536
164,1,10M,10485513
165,0,0M,0
166,0,0M,0
167,1,10M,10485618
168,0,0M,0
169,0,0M,0
170,0,0M,0
171,1,10M,10484404
172,0,0M,0
173,1,10M,10487797
174,0,0M,0
175,1,10M,10485540
176,1,10M,10485564
177,1,10M,10485536
178,1,10M,10485543
179,2,50M,52428072
180,2,50M,52432542
181,2,50M,52432353
182,1,10M,10485603
183,2,50M,52433779
184,2,50M,52433374
185,2,50M,52432395
186,1,10M,10485580
187,1,10M,10485543
188,1,10M,10485077
189,2,50M,52432521
190,2,50M,52431933
191,2,50M,52433789
192,1,10M,10485564
193,2,50M,52432542
194,2,50M,52432552
195,2,50M,52432133
196,0,0M,0
197,1,10M,10485524
198,1,10M,10485570
199,2,50M,52433863
200,2,50M,52432531
